City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
345,soure,-0.7167,-48.5233,27.12,79,2,5.19,BR,1721526164
346,sturgis,41.7992,-85.4192,20.81,83,0,1.54,US,1721526165
347,saynshand,44.8824,110.1163,25.73,53,36,6.45,MN,1721526166
348,port lincoln,-34.7333,135.8667,15.44,70,21,10.09,AU,1721526168
349,mbanza-ngungu,-5.25,14.8667,16.44,88,0,2.57,CD,1721526169
350,hilo,19.7297,-155.09,28.85,74,40,4.12,US,1721526170
351,keta,5.9179,0.9879,24.09,89,100,6.95,GH,1721526171
352,ramos arizpe,25.55,-100.9667,24.55,63,40,2.57,MX,1721526172
353,tralee,52.2704,-9.7026,11.59,96,99,2.08,IE,1721526173
354,karratha,-20.7377,116.8463,22.17,28,98,8.79,AU,1721526174
355,rio grande,-32.035,-52.0986,13.86,95,100,4.11,BR,1721526176
356,cao bang,22.6667,106.25,29.74,73,29,0.76,VN,1721526177
357,beitbridge,-22.2167,30.0,15.25,53,43,1.78,ZW,1721526178
358,novodvinsk,64.4165,40.8122,9.86,73,1,2.12,RU,1721526179
359,zeya,53.75,127.2667,21.21,78,93,3.11,RU,1721526180
360,port blair,11.6667,92.75,29.02,84,75,2.57,IN,1721526181
